team1,team2,date,year,time,place,toss_winner,toss_decision,winner,winner_number,won_toss_game,tied,runs_won_by,wickets_won_by,balls_remaining
11,2,30-Apr-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"Nehru Stadium, Kochi",2,bat,Delhi Capitals,2,1,,38,,
6,1,1-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",6,bat,Chennai Super Kings,6,1,,19,,
5,9,2-May-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"Wankhede Stadium, Mumbai",9,bowl,Mumbai Indians,5,0,,23,,
1,8,3-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",1,bowl,Kolkata Knight Riders,8,0,,20,,
12,5,4-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Dr DY Patil Sports Academy, Mumbai",12,bowl,Mumbai Indians,5,0,,21,,
11,8,5-May-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"Nehru Stadium, Kochi",8,bowl,Kochi Tuskers Kerala,11,0,,17,,
3,9,6-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",9,bowl,Royal Challengers Bangalore,3,0,,85,,
8,6,7-May-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",6,bat,Kolkata Knight Riders,8,0,,10,,
5,2,7-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",2,bowl,Mumbai Indians,5,0,,32,,
4,6,9-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",4,bowl,Chennai Super Kings,6,0,,63,,
9,5,10-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",5,bowl,Kings XI Punjab,9,0,,76,,
6,2,12-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",6,bat,Chennai Super Kings,6,1,,18,,
5,1,14-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",1,bat,Deccan Chargers,1,1,,10,,
9,2,15-May-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2,bowl,Kings XI Punjab,9,0,,29,,
9,3,17-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Himachal Pradesh Cricket Association Stadium, Dharamsala",9,bat,Kings XI Punjab,9,1,,111,,
6,11,18-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",6,bat,Chennai Super Kings,6,1,,11,,
9,1,21-May-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"Himachal Pradesh Cricket Association Stadium, Dharamsala",9,bowl,Deccan Chargers,1,0,,82,,
5,3,27-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",5,bowl,Royal Challengers Bangalore,3,0,,43,,
6,3,28-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",6,bat,Chennai Super Kings,6,1,,58,,
5,12,6-Apr-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"Wankhede Stadium, Mumbai",5,bowl,Pune Warriors,12,0,,28,,
4,9,6-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",9,bowl,Rajasthan Royals,4,0,,31,,
3,2,7-Apr-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",2,bowl,Royal Challengers Bangalore,3,0,,20,,
1,6,7-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",1,bowl,Chennai Super Kings,6,0,,74,,
4,8,8-Apr-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",8,bowl,Rajasthan Royals,4,0,,22,,
12,9,8-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",12,bat,Pune Warriors,12,1,,22,,
3,8,10-Apr-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",3,bowl,Kolkata Knight Riders,8,0,,42,,
5,4,11-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",4,bowl,Mumbai Indians,5,0,,27,,
8,9,15-Apr-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",8,bowl,Kings XI Punjab,9,0,,2,,
3,4,15-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",4,bat,Rajasthan Royals,4,1,,59,,
6,12,19-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",12,bowl,Chennai Super Kings,6,0,,13,,
2,12,21-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",2,bowl,Pune Warriors,12,0,,20,,
4,3,23-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",4,bowl,Royal Challengers Bangalore,3,0,,46,,
12,1,26-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",1,bat,Deccan Chargers,1,1,,18,,
2,5,27-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",5,bowl,Delhi Capitals,2,0,,37,,
6,9,28-Apr-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",9,bat,Kings XI Punjab,9,1,,7,,
8,3,28-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",8,bat,Kolkata Knight Riders,8,1,,47,,
2,4,29-Apr-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",2,bat,Delhi Capitals,2,1,,,,
1,12,1-May-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"Barabati Stadium, Cuttack",1,bat,Deccan Chargers,1,1,,13,,
12,5,3-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",5,bat,Mumbai Indians,5,1,,1,,
6,1,4-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",6,bat,Chennai Super Kings,6,1,,10,,
8,12,5-May-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",8,bat,Kolkata Knight Riders,8,1,,7,,
9,4,5-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",4,bat,Rajasthan Royals,4,1,,43,,
1,9,8-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",1,bowl,Kings XI Punjab,9,0,,25,,
12,3,11-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",12,bowl,Royal Challengers Bangalore,3,0,,35,,
8,5,12-May-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",5,bat,Mumbai Indians,5,1,,27,,
4,12,13-May-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",4,bat,Rajasthan Royals,4,1,,45,,
5,8,16-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",5,bowl,Kolkata Knight Riders,8,0,,32,,
2,3,17-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",2,bowl,Royal Challengers Bangalore,3,0,,21,,
12,8,19-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",8,bat,Kolkata Knight Riders,8,1,,34,,
1,3,20-May-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",3,bowl,Deccan Chargers,1,0,,9,,
2,8,22-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",8,bat,Kolkata Knight Riders,8,1,,18,,
5,6,23-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",5,bowl,Chennai Super Kings,6,0,,38,,
6,2,25-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",2,bowl,Chennai Super Kings,6,0,,86,,
3,5,4-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",5,bowl,Royal Challengers Bangalore,3,0,,2,,
7,12,5-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",12,bowl,Sunrisers Hyderabad,7,0,,22,,
2,4,6-Apr-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",4,bat,Rajasthan Royals,4,1,,5,,
6,5,6-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",5,bat,Mumbai Indians,5,1,,9,,
7,3,7-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",3,bat,Sunrisers Hyderabad,7,0,1,,,
4,8,8-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",8,bowl,Rajasthan Royals,4,0,,19,,
5,2,9-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",5,bat,Mumbai Indians,5,1,,44,,
5,12,13-Apr-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"Wankhede Stadium, Mumbai",5,bat,Mumbai Indians,5,1,,41,,
8,7,14-Apr-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",8,bat,Kolkata Knight Riders,8,1,,48,,
6,12,15-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",12,bat,Pune Warriors,12,1,,24,,
9,8,16-Apr-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",8,bowl,Kings XI Punjab,9,0,,4,,
3,2,16-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",3,bowl,Royal Challengers Bangalore,3,1,1,,,
12,7,17-Apr-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",12,bowl,Sunrisers Hyderabad,7,0,,11,,
4,5,17-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",4,bat,Rajasthan Royals,4,1,,87,,
2,6,18-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",6,bat,Chennai Super Kings,6,1,,86,,
3,12,23-Apr-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",12,bowl,Royal Challengers Bangalore,3,0,,130,,
5,3,27-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",5,bat,Mumbai Indians,5,1,,58,,
6,8,28-Apr-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",8,bowl,Chennai Super Kings,6,0,,14,,
2,12,28-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Shaheed Veer Narayan Singh International Stadium, Raipur",12,bowl,Delhi Capitals,2,0,,15,,
5,9,29-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",5,bat,Mumbai Indians,5,1,,4,,
12,6,30-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",6,bat,Chennai Super Kings,6,1,,37,,
6,9,2-May-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",6,bat,Chennai Super Kings,6,1,,15,,
12,3,2-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",3,bat,Royal Challengers Bangalore,3,1,,17,,
5,6,5-May-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"Wankhede Stadium, Mumbai",5,bat,Mumbai Indians,5,1,,60,,
5,8,7-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",5,bat,Mumbai Indians,5,1,,65,,
7,6,8-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",7,bowl,Chennai Super Kings,6,0,,77,,
12,8,9-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",8,bat,Kolkata Knight Riders,8,1,,46,,
2,3,10-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",2,bowl,Royal Challengers Bangalore,3,0,,4,,
9,7,11-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",9,bowl,Sunrisers Hyderabad,7,0,,30,,
6,2,14-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",6,bat,Chennai Super Kings,6,1,,33,,
8,12,15-May-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"JSCA International Stadium Complex, Ranchi",8,bowl,Pune Warriors,12,0,,7,,
5,4,15-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",4,bowl,Mumbai Indians,5,0,,14,,
9,2,16-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2,bowl,Kings XI Punjab,9,0,,7,,
7,4,17-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",7,bat,Sunrisers Hyderabad,7,1,,23,,
9,5,18-May-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"Himachal Pradesh Cricket Association Stadium, Dharamsala",5,bowl,Kings XI Punjab,9,0,,50,,
3,6,18-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",6,bowl,Royal Challengers Bangalore,3,0,,24,,
12,2,19-May-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",12,bat,Pune Warriors,12,1,,38,,
6,5,21-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",6,bat,Chennai Super Kings,6,1,,48,,
6,5,26-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",5,bat,Mumbai Indians,5,1,,23,,
5,8,16-Apr-14,2014,02:30 PM GMT / 06:30 PM LOCAL,"Sheikh Zayed Stadium, Abu Dhabi",8,bat,Kolkata Knight Riders,8,1,,41,,
6,2,21-Apr-14,2014,02:30 PM GMT / 06:30 PM LOCAL,"Sheikh Zayed Stadium, Abu Dhabi",6,bat,Chennai Super Kings,6,1,,93,,
9,7,22-Apr-14,2014,02:30 PM GMT / 06:30 PM LOCAL,"Sharjah Cricket Stadium, Sharjah",7,bowl,Kings XI Punjab,9,0,,72,,
4,6,23-Apr-14,2014,02:30 PM GMT / 06:30 PM LOCAL,"Dubai International Cricket Stadium , Dubai",4,bowl,Chennai Super Kings,6,0,,7,,
3,8,24-Apr-14,2014,02:30 PM GMT / 06:30 PM LOCAL,"Sharjah Cricket Stadium, Sharjah",3,bowl,Kolkata Knight Riders,8,0,,2,,
7,2,25-Apr-14,2014,10:30 AM GMT / 02:30 PM LOCAL,"Dubai International Cricket Stadium , Dubai",7,bat,Sunrisers Hyderabad,7,1,,4,,
8,9,26-Apr-14,2014,02:30 PM GMT / 06:30 PM LOCAL,"Sheikh Zayed Stadium, Abu Dhabi",8,bowl,Kings XI Punjab,9,0,,23,,
8,4,29-Apr-14,2014,02:30 PM GMT / 06:30 PM LOCAL,"Sheikh Zayed Stadium, Abu Dhabi",4,bat,Rajasthan Royals,4,1,1,,,
5,7,30-Apr-14,2014,02:30 PM GMT / 06:30 PM LOCAL,"Dubai International Cricket Stadium , Dubai",5,bowl,Sunrisers Hyderabad,7,0,,15,,
6,8,2-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"JSCA International Stadium Complex, Ranchi",6,bat,Chennai Super Kings,6,1,,34,,
4,8,5-May-14,2014,10:30 AM GMT / 04:00 PM LOCAL,"Sardar Patel Stadium, Ahmedabad",8,bowl,Rajasthan Royals,4,0,,10,,
5,3,6-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",3,bowl,Mumbai Indians,5,0,,19,,
9,6,7-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Barabati Stadium, Cuttack",6,bowl,Kings XI Punjab,9,0,,44,,
4,7,8-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Sardar Patel Stadium, Ahmedabad",4,bowl,Sunrisers Hyderabad,7,0,,32,,
3,9,9-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",3,bowl,Kings XI Punjab,9,0,,32,,
3,2,13-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",2,bowl,Royal Challengers Bangalore,3,0,,16,,
4,2,15-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Sardar Patel Stadium, Ahmedabad",2,bowl,Rajasthan Royals,4,0,,62,,
4,5,19-May-14,2014,10:30 AM GMT / 04:00 PM LOCAL,"Sardar Patel Stadium, Ahmedabad",5,bat,Mumbai Indians,5,1,,25,,
8,3,22-May-14,2014,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",3,bowl,Kolkata Knight Riders,8,0,,30,,
5,2,23-May-14,2014,10:30 AM GMT / 04:00 PM LOCAL,"Wankhede Stadium, Mumbai",2,bowl,Mumbai Indians,5,0,,15,,
9,4,23-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",4,bowl,Kings XI Punjab,9,0,,16,,
9,8,28-May-14,2014,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",9,bowl,Kolkata Knight Riders,8,0,,28,,
9,6,30-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",6,bowl,Kings XI Punjab,9,0,,24,,
6,2,9-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",2,bowl,Chennai Super Kings,6,0,,1,,
9,4,10-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",9,bowl,Rajasthan Royals,4,0,,26,,
6,7,11-Apr-15,2015,10:30 AM GMT / 04:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",6,bat,Chennai Super Kings,6,1,,45,,
5,9,12-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",5,bowl,Kings XI Punjab,9,0,,18,,
7,2,18-Apr-15,2015,10:30 AM GMT / 04:00 PM LOCAL,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2,bat,Delhi Capitals,2,1,,4,,
3,5,19-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",3,bowl,Mumbai Indians,5,0,,18,,
4,9,21-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Sardar Patel Stadium, Ahmedabad",9,bowl,Kings XI Punjab,9,1,1,,,
7,8,22-Apr-15,2015,10:30 AM GMT / 04:00 PM LOCAL,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",8,bowl,Sunrisers Hyderabad,7,0,,16,,
3,6,22-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",3,bowl,Chennai Super Kings,6,0,,27,,
2,5,23-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",5,bowl,Delhi Capitals,2,0,,37,,
5,7,25-Apr-15,2015,10:30 AM GMT / 04:00 PM LOCAL,"Wankhede Stadium, Mumbai",5,bat,Mumbai Indians,5,1,,20,,
6,9,25-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",6,bat,Chennai Super Kings,6,1,,97,,
9,7,27-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",9,bowl,Sunrisers Hyderabad,7,0,,20,,
6,8,28-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",8,bowl,Chennai Super Kings,6,0,,2,,
5,4,1-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",4,bowl,Mumbai Indians,5,0,,8,,
7,6,2-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",6,bowl,Sunrisers Hyderabad,7,0,,22,,
9,5,3-May-15,2015,10:30 AM GMT / 04:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",5,bat,Mumbai Indians,5,1,,23,,
4,2,3-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Brabourne Stadium, Mumbai",2,bowl,Rajasthan Royals,4,0,,14,,
6,3,4-May-15,2015,10:30 AM GMT / 04:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",6,bat,Chennai Super Kings,6,1,,24,,
8,7,4-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",7,bowl,Kolkata Knight Riders,8,0,,35,,
3,9,6-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",9,bowl,Royal Challengers Bangalore,3,0,,138,,
4,7,7-May-15,2015,10:30 AM GMT / 04:00 PM LOCAL,"Brabourne Stadium, Mumbai",4,bowl,Sunrisers Hyderabad,7,0,,7,,
8,2,7-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",8,bat,Kolkata Knight Riders,8,1,,13,,
2,7,9-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Shaheed Veer Narayan Singh International Stadium, Raipur",7,bat,Sunrisers Hyderabad,7,1,,6,,
5,3,10-May-15,2015,10:30 AM GMT / 04:00 PM LOCAL,"Wankhede Stadium, Mumbai",3,bat,Royal Challengers Bangalore,3,1,,39,,
6,4,10-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",6,bat,Chennai Super Kings,6,1,,12,,
7,9,11-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",7,bat,Sunrisers Hyderabad,7,1,,5,,
9,3,13-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",3,bowl,Kings XI Punjab,9,0,,22,,
5,8,14-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",8,bowl,Mumbai Indians,5,0,,5,,
4,8,16-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Brabourne Stadium, Mumbai",4,bat,Rajasthan Royals,4,1,,9,,
6,5,19-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",5,bat,Mumbai Indians,5,1,,25,,
3,4,20-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",3,bat,Royal Challengers Bangalore,3,1,,71,,
5,6,24-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",6,bowl,Mumbai Indians,5,0,,41,,
3,7,12-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",7,bowl,Royal Challengers Bangalore,3,0,,45,,
10,3,22-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",10,bowl,Royal Challengers Bangalore,3,0,,13,,
2,5,23-Apr-16,2016,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",5,bowl,Delhi Capitals,2,0,,10,,
9,5,25-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",9,bowl,Mumbai Indians,5,0,,25,,
7,10,26-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",10,bowl,Rising Pune Supergiants,10,1,,34,,
2,13,27-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",2,bowl,Gujarat Lions,13,0,,1,,
2,8,30-Apr-16,2016,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",8,bowl,Delhi Capitals,2,0,,27,,
7,3,30-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",3,bowl,Sunrisers Hyderabad,7,0,,15,,
13,9,1-May-16,2016,10:30 AM GMT / 04:00 PM LOCAL,"Saurashtra Cricket Association Stadium, Rajkot",13,bowl,Kings XI Punjab,9,0,,23,,
8,9,4-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",9,bowl,Kolkata Knight Riders,8,0,,7,,
9,2,7-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,bowl,Kings XI Punjab,9,0,,9,,
5,7,8-May-16,2016,10:30 AM GMT / 04:00 PM LOCAL,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",5,bowl,Sunrisers Hyderabad,7,0,,85,,
9,3,9-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",9,bowl,Royal Challengers Bangalore,3,0,,1,,
10,7,10-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",7,bat,Sunrisers Hyderabad,7,1,,4,,
3,13,14-May-16,2016,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",13,bowl,Royal Challengers Bangalore,3,0,,144,,
5,2,15-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2,bowl,Mumbai Indians,5,0,,80,,
10,2,17-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",10,bowl,Rising Pune Supergiants,10,1,,19,,
3,9,18-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",9,bowl,Royal Challengers Bangalore,3,0,,82,,
