team1,team2,date,year,time,place,toss_winner,toss_decision,winner,won_toss_game,tied,runs_won_by,wickets_won_by,balls_remaining
ROYAL CHALLENGERS BANGALORE,DECCAN CHARGERS,3-May-08,2008,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Deccan Chargers,bowl,Royal Challengers Bangalore,0,,3,,
KINGS XI PUNJAB,KOLKATA KNIGHT RIDERS,3-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,bat,Kings XI Punjab,1,,9,,
MUMBAI INDIANS,DELHI CAPITALS,4-May-08,2008,10:30 AM GMT / 04:00 PM LOCAL,"Dr DY Patil Sports Academy, Mumbai",Delhi Capitals,bowl,Mumbai Indians,0,,29,,
KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE,8-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat,Kolkata Knight Riders,1,,5,,
CHENNAI SUPER KINGS,KINGS XI PUNJAB,10-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Kings XI Punjab,bowl,Chennai Super Kings,0,,18,,
DECCAN CHARGERS,KOLKATA KNIGHT RIDERS,11-May-08,2008,10:30 AM GMT / 04:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Kolkata Knight Riders,bat,Kolkata Knight Riders,1,,23,,
KOLKATA KNIGHT RIDERS,DELHI CAPITALS,13-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat,Kolkata Knight Riders,1,,23,,
DELHI CAPITALS,DECCAN CHARGERS,15-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Deccan Chargers,bowl,Delhi Capitals,0,,12,,
RAJASTHAN ROYALS,ROYAL CHALLENGERS BANGALORE,17-May-08,2008,10:30 AM GMT / 04:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Royal Challengers Bangalore,bowl,Rajasthan Royals,0,,65,,
DELHI CAPITALS,KINGS XI PUNJAB,17-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat,Kings XI Punjab,0,,6,,
KOLKATA KNIGHT RIDERS,CHENNAI SUPER KINGS,18-May-08,2008,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat,Chennai Super Kings,0,,3,,
DECCAN CHARGERS,MUMBAI INDIANS,18-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Deccan Chargers,bowl,Mumbai Indians,0,,25,,
MUMBAI INDIANS,KINGS XI PUNJAB,21-May-08,2008,10:30 AM GMT / 04:00 PM LOCAL,"Wankhede Stadium, Mumbai",Mumbai Indians,bowl,Kings XI Punjab,0,,,,
CHENNAI SUPER KINGS,ROYAL CHALLENGERS BANGALORE,21-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Royal Challengers Bangalore,bat,Royal Challengers Bangalore,1,,14,,
CHENNAI SUPER KINGS,RAJASTHAN ROYALS,24-May-08,2008,10:30 AM GMT / 04:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Rajasthan Royals,bat,Rajasthan Royals,1,,10,,
KINGS XI PUNJAB,RAJASTHAN ROYALS,28-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Rajasthan Royals,bowl,Kings XI Punjab,0,,41,,
DELHI CAPITALS,RAJASTHAN ROYALS,30-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Delhi Capitals,bowl,Rajasthan Royals,0,,105,,
CHENNAI SUPER KINGS,MUMBAI INDIANS,18-Apr-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"Newlands, Cape Town",Chennai Super Kings,bowl,Mumbai Indians,0,,19,,
ROYAL CHALLENGERS BANGALORE,RAJASTHAN ROYALS,18-Apr-09,2009,03:10 PM GMT / 05:10 PM LOCAL,"Newlands, Cape Town",Royal Challengers Bangalore,bat,Royal Challengers Bangalore,1,,75,,
ROYAL CHALLENGERS BANGALORE,CHENNAI SUPER KINGS,20-Apr-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"St George's Park, Port Elizabeth",Chennai Super Kings,bat,Chennai Super Kings,1,,92,,
KINGS XI PUNJAB,KOLKATA KNIGHT RIDERS,21-Apr-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"Kingsmead, Durban",Kolkata Knight Riders,bowl,Kolkata Knight Riders,1,,11,,
ROYAL CHALLENGERS BANGALORE,DECCAN CHARGERS,22-Apr-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"Newlands, Cape Town",Deccan Chargers,bat,Deccan Chargers,1,,24,,
CHENNAI SUPER KINGS,DELHI CAPITALS,23-Apr-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"Kingsmead, Durban",Delhi Capitals,bat,Delhi Capitals,1,,9,,
KOLKATA KNIGHT RIDERS,RAJASTHAN ROYALS,23-Apr-09,2009,02:45 PM GMT / 04:45 PM LOCAL,"Newlands, Cape Town",Kolkata Knight Riders,bowl,Rajasthan Royals,0,1,,,
DECCAN CHARGERS,MUMBAI INDIANS,25-Apr-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"Kingsmead, Durban",Deccan Chargers,bat,Deccan Chargers,1,,12,,
