team1,team2,date,year,time,place,toss_winner,toss_decision,winner,won_toss_game,tied,runs_won_by,wickets_won_by,balls_remaining
DELHI CAPITALS,CHENNAI SUPER KINGS,26-Mar-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat,Chennai Super Kings,0,,,6,
KINGS XI PUNJAB,SUNRISERS HYDERABAD,8-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,bowl,Kings XI Punjab,1,,,6,
SUNRISERS HYDERABAD,CHENNAI SUPER KINGS,17-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Chennai Super Kings,bat,Sunrisers Hyderabad,0,,,6,
RAJASTHAN ROYALS,DELHI CAPITALS,22-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Delhi Capitals,bowl,Delhi Capitals,1,,,6,
CHENNAI SUPER KINGS,SUNRISERS HYDERABAD,23-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,bowl,Chennai Super Kings,1,,,6,
KINGS XI PUNJAB,CHENNAI SUPER KINGS,5-May-19,2019,10:30 AM GMT / 04:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,bowl,Kings XI Punjab,1,,,6,
MUMBAI INDIANS,CHENNAI SUPER KINGS,7-May-19,2019,02:00 PM GMT / 07:30 PM LOCAL,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,bat,Mumbai Indians,0,,,6,
CHENNAI SUPER KINGS,DELHI CAPITALS,10-May-19,2019,02:00 PM GMT / 07:30 PM LOCAL,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Chennai Super Kings,bowl,Chennai Super Kings,1,,,6,
KOLKATA KNIGHT RIDERS,DECCAN CHARGERS,20-Apr-08,2008,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",Deccan Chargers,bat,Kolkata Knight Riders,0,,,5,6
MUMBAI INDIANS,ROYAL CHALLENGERS BANGALORE,20-Apr-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Mumbai Indians,bat,Royal Challengers Bangalore,0,,,5,2
ROYAL CHALLENGERS BANGALORE,DELHI CAPITALS,19-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Delhi Capitals,bowl,Delhi Capitals,1,,,5,10
DELHI CAPITALS,MUMBAI INDIANS,24-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bowl,Delhi Capitals,1,,,5,1
DECCAN CHARGERS,ROYAL CHALLENGERS BANGALORE,25-May-08,2008,10:30 AM GMT / 04:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Deccan Chargers,bat,Royal Challengers Bangalore,0,,,5,6
RAJASTHAN ROYALS,MUMBAI INDIANS,26-May-08,2008,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bowl,Rajasthan Royals,1,,,5,0
DELHI CAPITALS,RAJASTHAN ROYALS,28-Apr-09,2009,02:30 PM GMT / 04:30 PM LOCAL,"SuperSport Park, Centurion",Delhi Capitals,bat,Rajasthan Royals,0,,,5,9
ROYAL CHALLENGERS BANGALORE,KOLKATA KNIGHT RIDERS,29-Apr-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"Kingsmead, Durban",Kolkata Knight Riders,bat,Royal Challengers Bangalore,0,,,5,1
KINGS XI PUNJAB,DELHI CAPITALS,13-Mar-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Delhi Capitals,bowl,Delhi Capitals,1,,,5,1
DELHI CAPITALS,CHENNAI SUPER KINGS,19-Mar-10,2010,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat,Chennai Super Kings,0,,,5,5
MUMBAI INDIANS,CHENNAI SUPER KINGS,25-Mar-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Brabourne Stadium, Mumbai",Mumbai Indians,bowl,Mumbai Indians,1,,,5,6
CHENNAI SUPER KINGS,ROYAL CHALLENGERS BANGALORE,31-Mar-10,2010,10:30 AM GMT / 04:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Royal Challengers Bangalore,bat,Chennai Super Kings,0,,,5,7
RAJASTHAN ROYALS,ROYAL CHALLENGERS BANGALORE,14-Apr-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat,Royal Challengers Bangalore,0,,,5,26
KINGS XI PUNJAB,DECCAN CHARGERS,16-Apr-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Deccan Chargers,bowl,Deccan Chargers,1,,,5,5
KINGS XI PUNJAB,PUNE WARRIORS,8-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,bat,Pune Warriors,0,,,5,
KOLKATA KNIGHT RIDERS,MUMBAI INDIANS,22-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Mumbai Indians,bowl,Mumbai Indians,1,,,5,
DECCAN CHARGERS,MUMBAI INDIANS,9-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Deccan Chargers,bat,Mumbai Indians,0,,,5,
CHENNAI SUPER KINGS,ROYAL CHALLENGERS BANGALORE,12-Apr-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Royal Challengers Bangalore,bat,Chennai Super Kings,0,,,5,
KOLKATA KNIGHT RIDERS,RAJASTHAN ROYALS,13-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Rajasthan Royals,bat,Kolkata Knight Riders,0,,,5,
RAJASTHAN ROYALS,DECCAN CHARGERS,17-Apr-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Deccan Chargers,bat,Rajasthan Royals,0,,,5,
DELHI CAPITALS,DECCAN CHARGERS,19-Apr-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Deccan Chargers,bat,Delhi Capitals,0,,,5,
KINGS XI PUNJAB,ROYAL CHALLENGERS BANGALORE,20-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Royal Challengers Bangalore,bowl,Royal Challengers Bangalore,1,,,5,
DECCAN CHARGERS,KOLKATA KNIGHT RIDERS,22-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Barabati Stadium, Cuttack",Kolkata Knight Riders,bowl,Kolkata Knight Riders,1,,,5,
MUMBAI INDIANS,DECCAN CHARGERS,29-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Mumbai Indians,bowl,Mumbai Indians,1,,,5,
CHENNAI SUPER KINGS,KOLKATA KNIGHT RIDERS,30-Apr-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,bat,Kolkata Knight Riders,0,,,5,
ROYAL CHALLENGERS BANGALORE,DECCAN CHARGERS,6-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,bowl,Royal Challengers Bangalore,1,,,5,
ROYAL CHALLENGERS BANGALORE,MUMBAI INDIANS,14-May-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Mumbai Indians,bowl,Mumbai Indians,1,,,5,
KOLKATA KNIGHT RIDERS,CHENNAI SUPER KINGS,14-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Chennai Super Kings,bowl,Chennai Super Kings,1,,,5,
DELHI CAPITALS,KINGS XI PUNJAB,15-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Kings XI Punjab,bat,Delhi Capitals,0,,,5,
DECCAN CHARGERS,RAJASTHAN ROYALS,18-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Rajasthan Royals,bat,Deccan Chargers,0,,,5,
CHENNAI SUPER KINGS,KOLKATA KNIGHT RIDERS,27-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,bat,Kolkata Knight Riders,0,,,5,
SUNRISERS HYDERABAD,KINGS XI PUNJAB,19-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Kings XI Punjab,bat,Sunrisers Hyderabad,0,,,5,
CHENNAI SUPER KINGS,RAJASTHAN ROYALS,22-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Rajasthan Royals,bat,Chennai Super Kings,0,,,5,
DELHI CAPITALS,KINGS XI PUNJAB,23-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Kings XI Punjab,bowl,Kings XI Punjab,1,,,5,
KOLKATA KNIGHT RIDERS,MUMBAI INDIANS,24-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat,Mumbai Indians,0,,,5,
CHENNAI SUPER KINGS,SUNRISERS HYDERABAD,25-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Sunrisers Hyderabad,bat,Chennai Super Kings,0,,,5,
RAJASTHAN ROYALS,PUNE WARRIORS,5-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Pune Warriors,bat,Rajasthan Royals,0,,,5,
PUNE WARRIORS,MUMBAI INDIANS,11-May-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",Pune Warriors,bat,Mumbai Indians,0,,,5,
KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE,12-May-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"JSCA International Stadium Complex, Ranchi",Kolkata Knight Riders,bowl,Kolkata Knight Riders,1,,,5,
RAJASTHAN ROYALS,CHENNAI SUPER KINGS,12-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bowl,Rajasthan Royals,1,,,5,
SUNRISERS HYDERABAD,KOLKATA KNIGHT RIDERS,19-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Kolkata Knight Riders,bat,Sunrisers Hyderabad,0,,,5,
SUNRISERS HYDERABAD,CHENNAI SUPER KINGS,27-Apr-14,2014,02:30 PM GMT / 06:30 PM LOCAL,"Sharjah Cricket Stadium, Sharjah",Sunrisers Hyderabad,bat,Chennai Super Kings,0,,,5,
KINGS XI PUNJAB,ROYAL CHALLENGERS BANGALORE,28-Apr-14,2014,02:30 PM GMT / 06:30 PM LOCAL,"Dubai International Cricket Stadium , Dubai",Kings XI Punjab,bowl,Kings XI Punjab,1,,,5,
MUMBAI INDIANS,KINGS XI PUNJAB,3-May-14,2014,10:30 AM GMT / 04:00 PM LOCAL,"Wankhede Stadium, Mumbai",Kings XI Punjab,bat,Mumbai Indians,0,,,5,
ROYAL CHALLENGERS BANGALORE,RAJASTHAN ROYALS,11-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,bat,Rajasthan Royals,0,,,5,
CHENNAI SUPER KINGS,RAJASTHAN ROYALS,13-May-14,2014,10:30 AM GMT / 04:00 PM LOCAL,"JSCA International Stadium Complex, Ranchi",Rajasthan Royals,bat,Chennai Super Kings,0,,,5,
CHENNAI SUPER KINGS,ROYAL CHALLENGERS BANGALORE,18-May-14,2014,10:30 AM GMT / 04:00 PM LOCAL,"JSCA International Stadium Complex, Ranchi",Chennai Super Kings,bat,Royal Challengers Bangalore,0,,,5,
MUMBAI INDIANS,RAJASTHAN ROYALS,25-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Mumbai Indians,bowl,Mumbai Indians,1,,,5,
KINGS XI PUNJAB,DELHI CAPITALS,15-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",Kings XI Punjab,bat,Delhi Capitals,0,,,5,
MUMBAI INDIANS,DELHI CAPITALS,5-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Delhi Capitals,bat,Mumbai Indians,0,,,5,
KINGS XI PUNJAB,GUJARAT LIONS,11-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Gujarat Lions,bowl,Gujarat Lions,1,,,5,
SUNRISERS HYDERABAD,KINGS XI PUNJAB,23-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,bowl,Sunrisers Hyderabad,1,,,5,
ROYAL CHALLENGERS BANGALORE,KOLKATA KNIGHT RIDERS,2-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders,bowl,Kolkata Knight Riders,1,,,5,
SUNRISERS HYDERABAD,GUJARAT LIONS,6-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,bowl,Sunrisers Hyderabad,1,,,5,
KOLKATA KNIGHT RIDERS,GUJARAT LIONS,8-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Gujarat Lions,bowl,Gujarat Lions,1,,,5,
MUMBAI INDIANS,ROYAL CHALLENGERS BANGALORE,1-May-17,2017,10:30 AM GMT / 04:00 PM LOCAL,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore,bat,Mumbai Indians,0,,,5,
Rising Pune Supergiants,GUJARAT LIONS,1-May-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",Rising Pune Supergiants,bowl,Rising Pune Supergiants,1,,,5,
CHENNAI SUPER KINGS,KOLKATA KNIGHT RIDERS,10-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,bowl,Chennai Super Kings,1,,,5,
KOLKATA KNIGHT RIDERS,SUNRISERS HYDERABAD,14-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Sunrisers Hyderabad,bowl,Sunrisers Hyderabad,1,,,5,
ROYAL CHALLENGERS BANGALORE,CHENNAI SUPER KINGS,25-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,bowl,Chennai Super Kings,1,,,5,
DELHI CAPITALS,ROYAL CHALLENGERS BANGALORE,12-May-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Royal Challengers Bangalore,bowl,Royal Challengers Bangalore,1,,,5,
SUNRISERS HYDERABAD,KOLKATA KNIGHT RIDERS,19-May-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,bat,Kolkata Knight Riders,0,,,5,
CHENNAI SUPER KINGS,KINGS XI PUNJAB,20-May-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,bowl,Chennai Super Kings,1,,,5,
SUNRISERS HYDERABAD,RAJASTHAN ROYALS,29-Mar-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Rajasthan Royals,bat,Sunrisers Hyderabad,0,,,5,
DELHI CAPITALS,SUNRISERS HYDERABAD,4-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,bowl,Sunrisers Hyderabad,1,,,5,
ROYAL CHALLENGERS BANGALORE,KOLKATA KNIGHT RIDERS,5-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders,bowl,Kolkata Knight Riders,1,,,5,
KOLKATA KNIGHT RIDERS,CHENNAI SUPER KINGS,14-Apr-19,2019,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",Chennai Super Kings,bowl,Chennai Super Kings,1,,,5,
MUMBAI INDIANS,ROYAL CHALLENGERS BANGALORE,15-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Mumbai Indians,bowl,Mumbai Indians,1,,,5,
RAJASTHAN ROYALS,MUMBAI INDIANS,20-Apr-19,2019,10:30 AM GMT / 04:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bowl,Rajasthan Royals,1,,,5,
DELHI CAPITALS,KINGS XI PUNJAB,20-Apr-19,2019,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bowl,Delhi Capitals,1,,,5,
DELHI CAPITALS,RAJASTHAN ROYALS,4-May-19,2019,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,bat,Delhi Capitals,0,,,5,
KINGS XI PUNJAB,DELHI CAPITALS,27-Apr-08,2008,10:30 AM GMT / 04:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Delhi Capitals,bat,Kings XI Punjab,0,,,4,3
DELHI CAPITALS,CHENNAI SUPER KINGS,8-May-08,2008,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,bowl,Chennai Super Kings,1,,,4,0
KOLKATA KNIGHT RIDERS,RAJASTHAN ROYALS,20-May-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"Kingsmead, Durban",Kolkata Knight Riders,bowl,Kolkata Knight Riders,1,,,4,3
DELHI CAPITALS,MUMBAI INDIANS,21-May-09,2009,10:30 AM GMT / 12:30 PM LOCAL,"SuperSport Park, Centurion",Delhi Capitals,bowl,Delhi Capitals,1,,,4,15
MUMBAI INDIANS,KINGS XI PUNJAB,30-Mar-10,2010,02:30 PM GMT / 08:00 PM LOCAL,"Brabourne Stadium, Mumbai",Mumbai Indians,bowl,Mumbai Indians,1,,,4,3
PUNE WARRIORS,KOCHI TUSKERS KERALA,13-Apr-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Dr DY Patil Sports Academy, Mumbai",Kochi Tuskers Kerala,bat,Pune Warriors,0,,,4,
DECCAN CHARGERS,DELHI CAPITALS,5-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Delhi Capitals,bowl,Delhi Capitals,1,,,4,
ROYAL CHALLENGERS BANGALORE,KOLKATA KNIGHT RIDERS,14-May-11,2011,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,bowl,Royal Challengers Bangalore,1,,,4,
MUMBAI INDIANS,KOLKATA KNIGHT RIDERS,25-May-11,2011,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Mumbai Indians,bowl,Mumbai Indians,1,,,4,
KINGS XI PUNJAB,MUMBAI INDIANS,25-Apr-12,2012,10:30 AM GMT / 04:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,bat,Mumbai Indians,0,,,4,
ROYAL CHALLENGERS BANGALORE,KINGS XI PUNJAB,2-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Kings XI Punjab,bowl,Kings XI Punjab,1,,,4,
RAJASTHAN ROYALS,CHENNAI SUPER KINGS,10-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Chennai Super Kings,bowl,Chennai Super Kings,1,,,4,
KINGS XI PUNJAB,DECCAN CHARGERS,13-May-12,2012,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Deccan Chargers,bat,Kings XI Punjab,0,,,4,
CHENNAI SUPER KINGS,ROYAL CHALLENGERS BANGALORE,13-Apr-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,bowl,Chennai Super Kings,1,,,4,
KOLKATA KNIGHT RIDERS,CHENNAI SUPER KINGS,20-Apr-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat,Chennai Super Kings,0,,,4,
RAJASTHAN ROYALS,ROYAL CHALLENGERS BANGALORE,29-Apr-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bowl,Rajasthan Royals,1,,,4,
RAJASTHAN ROYALS,SUNRISERS HYDERABAD,22-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,bat,Rajasthan Royals,0,,,4,
MUMBAI INDIANS,RAJASTHAN ROYALS,24-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Rajasthan Royals,bat,Mumbai Indians,0,,,4,
SUNRISERS HYDERABAD,RAJASTHAN ROYALS,18-Apr-14,2014,02:30 PM GMT / 06:30 PM LOCAL,"Sheikh Zayed Stadium, Abu Dhabi",Rajasthan Royals,bowl,Rajasthan Royals,1,,,4,
KOLKATA KNIGHT RIDERS,DELHI CAPITALS,19-Apr-14,2014,02:30 PM GMT / 06:30 PM LOCAL,"Dubai International Cricket Stadium , Dubai",Kolkata Knight Riders,bat,Delhi Capitals,0,,,4,
ROYAL CHALLENGERS BANGALORE,SUNRISERS HYDERABAD,4-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,bowl,Royal Challengers Bangalore,1,,,4,
MUMBAI INDIANS,CHENNAI SUPER KINGS,10-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Chennai Super Kings,bowl,Chennai Super Kings,1,,,4,
DELHI CAPITALS,KINGS XI PUNJAB,19-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Kings XI Punjab,bowl,Kings XI Punjab,1,,,4,
KOLKATA KNIGHT RIDERS,SUNRISERS HYDERABAD,24-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Kolkata Knight Riders,bowl,Kolkata Knight Riders,1,,,4,
KINGS XI PUNJAB,KOLKATA KNIGHT RIDERS,18-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",Kolkata Knight Riders,bowl,Kolkata Knight Riders,1,,,4,
Rising Pune Supergiants,KINGS XI PUNJAB,21-May-16,2016,10:30 AM GMT / 04:00 PM LOCAL,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Kings XI Punjab,bat,Rising Pune Supergiants,0,,,4,
